Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-05-12 15:30:36,76.97,True,False,"(-8.10, 1.40, 1.01)","(-0.88, -0.14, 0.45)","(-4.54, 1.63, -0.86)","(-4.51, 1.64, -0.80)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:37,77.98,True,False,"(-5.21, 1.01, 1.09)","(-0.19, -0.34, 0.92)","(-4.47, 1.62, -0.91)","(-4.41, 1.62, -0.90)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:38,78.98,True,False,"(-3.08, 1.32, 1.05)","(0.51, -0.11, 0.86)","(-4.38, 1.62, -0.91)","(-4.32, 1.62, -0.94)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:39,79.98,True,False,"(-3.29, 1.34, 0.86)","(0.50, -0.13, 0.86)","(-4.39, 1.62, -0.91)","(-4.33, 1.62, -0.94)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:40,80.98,True,False,"(-3.42, 1.34, 0.79)","(0.47, -0.13, 0.87)","(-4.39, 1.62, -0.92)","(-4.33, 1.61, -0.95)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:41,81.98,True,False,"(-3.39, 1.32, 0.79)","(0.47, -0.15, 0.87)","(-4.37, 1.62, -0.93)","(-4.31, 1.61, -0.96)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:42,82.99,True,False,"(-3.69, 1.35, 0.64)","(0.34, -0.15, 0.93)","(-4.38, 1.62, -0.92)","(-4.32, 1.62, -0.93)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:43,83.99,True,False,"(-8.79, 1.67, -0.32)","(-0.99, 0.01, 0.11)","(-4.51, 1.62, -0.98)","(-4.49, 1.62, -0.92)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:44,85.00,True,False,"(-8.68, 1.90, -1.31)","(-0.99, 0.06, -0.10)","(-4.50, 1.63, -0.90)","(-4.51, 1.63, -0.84)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:45,86.00,True,False,"(-8.64, 1.84, -1.25)","(-1.00, 0.05, -0.07)","(-4.50, 1.63, -0.93)","(-4.52, 1.63, -0.86)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:46,87.01,True,False,"(-8.27, 1.87, -1.36)","(-0.99, 0.07, -0.14)","(-4.50, 1.63, -0.93)","(-4.52, 1.63, -0.87)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:47,88.01,True,False,"(-8.71, 2.27, -1.12)","(-0.99, 0.15, -0.06)","(-4.50, 1.63, -0.93)","(-4.52, 1.63, -0.87)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:48,89.01,True,False,"(-8.58, 1.82, -1.80)","(-0.98, 0.04, -0.22)","(-4.49, 1.63, -0.94)","(-4.51, 1.63, -0.87)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:49,90.03,True,False,"(-8.51, 1.83, -1.69)","(-0.98, 0.05, -0.19)","(-4.49, 1.63, -0.94)","(-4.51, 1.63, -0.88)",Blue,"(0.13, 0.13, 0.13)",2,0
2025-05-12 15:30:50,91.03,True,False,"(-8.74, 1.70, -1.97)","(-0.97, 0.03, -0.25)","(-4.51, 1.62, -0.95)","(-4.54, 1.62, -0.89)",Blue,"(0.13, 0.13, 0.13)",2,0
2025-05-12 15:30:51,92.04,True,False,"(-6.03, 1.58, -4.26)","(-0.37, -0.01, -0.93)","(-4.58, 1.62, -0.89)","(-4.64, 1.62, -0.87)",Blue,"(0.13, 0.13, 0.13)",2,0
2025-05-12 15:30:52,93.05,True,False,"(-4.11, 1.28, -3.82)","(0.15, -0.12, -0.98)","(-4.47, 1.63, -0.82)","(-4.54, 1.63, -0.83)",Blue,"(0.13, 0.13, 0.13)",2,0
2025-05-12 15:30:53,94.05,True,False,"(-3.96, 1.13, -3.86)","(0.32, -0.13, -0.94)","(-4.55, 1.62, -0.76)","(-4.62, 1.62, -0.77)",Blue,"(0.13, 0.13, 0.13)",2,0
2025-05-12 15:30:54,95.05,True,False,"(-0.08, 2.17, -4.23)","(0.78, 0.15, -0.61)","(-4.54, 1.63, -0.69)","(-4.58, 1.63, -0.74)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:55,96.06,True,False,"(-1.44, 2.66, -4.04)","(0.60, 0.23, -0.76)","(-4.53, 1.64, -0.68)","(-4.58, 1.64, -0.72)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:56,97.06,True,False,"(-2.95, 2.63, -4.01)","(0.39, 0.27, -0.88)","(-4.52, 1.64, -0.68)","(-4.58, 1.64, -0.72)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:57,98.06,True,False,"(-3.95, 2.21, -4.12)","(0.15, 0.16, -0.98)","(-4.53, 1.64, -0.69)","(-4.59, 1.64, -0.71)",Yellow,"(0.05, 0.05, 0.05)",2,0
2025-05-12 15:30:58,99.07,True,False,"(-6.50, 2.61, -4.25)","(-0.51, 0.24, -0.82)","(-4.59, 1.65, -0.73)","(-4.65, 1.64, -0.70)",Yellow,"(0.05, 0.05, 0.05)",2,0
