Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-09 21:39:16,59.05,True,False,(-3.57, 0.96, -1.24),"(0.07, -0.65, -0.76)","(-3.50, 1.36, -0.73)","(-3.56, 1.37, -0.71)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:17,60.06,True,False,(-4.72, 0.83, -2.03),"(-0.87, -0.03, -0.49)","(-3.54, 1.40, -0.62)","(-3.59, 1.41, -0.57)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:18,61.06,True,False,(-5.88, 1.38, 0.88),"(-0.80, -0.04, 0.60)","(-3.65, 1.42, -0.67)","(-3.62, 1.43, -0.61)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:19,62.08,True,False,(-6.06, 1.62, 1.10),"(-0.81, 0.07, 0.58)","(-3.65, 1.41, -0.69)","(-3.61, 1.43, -0.64)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:20,63.08,True,False,(-6.16, 2.64, 0.92),"(-0.65, 0.49, 0.58)","(-3.61, 1.43, -0.70)","(-3.57, 1.43, -0.65)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:21,64.09,True,False,(-4.98, 1.72, 0.92),"(-0.60, 0.10, 0.80)","(-3.61, 1.42, -0.70)","(-3.56, 1.43, -0.65)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:22,65.10,True,False,(-6.73, 1.63, 0.99),"(-0.89, 0.08, 0.45)","(-3.60, 1.41, -0.70)","(-3.56, 1.41, -0.65)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:23,66.12,True,False,(-8.41, 2.09, 0.92),"(-0.96, 0.10, 0.28)","(-3.59, 1.41, -0.72)","(-3.56, 1.41, -0.66)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:24,67.13,True,False,(-5.55, 1.27, 0.84),"(-0.81, -0.05, 0.59)","(-3.58, 1.41, -0.71)","(-3.55, 1.41, -0.66)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:25,68.13,True,False,(-4.28, 2.57, 1.05),"(-0.37, 0.59, 0.72)","(-3.58, 1.43, -0.68)","(-3.52, 1.44, -0.65)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:26,69.14,True,False,(-3.43, 0.97, -1.18),"(0.24, -0.79, -0.56)","(-3.45, 1.33, -0.85)","(-3.52, 1.34, -0.85)",Blue,"(0.05, 0.05, 0.05)",5,0
